EXT_SOURCE_1;PAYMENT_RATE;EXT_SOURCE_3;EXT_SOURCE_2;DAYS_BIRTH;ACTIVE_DAYS_CREDIT_MAX;AMT_ANNUITY;APPROVED_CNT_PAYMENT_MEAN;INSTAL_DAYS_ENTRY_PAYMENT_MEAN;INSTAL_DPD_MEAN;DAYS_EMPLOYED;PREV_CNT_PAYMENT_MEAN;INSTAL_DAYS_ENTRY_PAYMENT_MAX;POS_MONTHS_BALANCE_SIZE;BURO_AMT_CREDIT_MAX_OVERDUE_MEAN;INSTAL_AMT_PAYMENT_SUM;CODE_GENDER;AMT_CREDIT;DAYS_ID_PUBLISH;ANNUITY_INCOME_PERC;INSTAL_AMT_PAYMENT_MIN;AMT_GOODS_PRICE;ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN;ACTIVE_DAYS_CREDIT_ENDDATE_MAX;DAYS_EMPLOYED_PERC;INCOME_CREDIT_PERC;POS_SK_DPD_DEF_MEAN;CLOSED_DAYS_CREDIT_MAX;PREV_APP_CREDIT_PERC_MIN;TARGET
0.7123420406788273;0.1077;0.6817058776720116;0.7735110912881574;-13080;-167.0;24232.5;12.0;-1867.658823529412;2.8705882352941177;-1267.0;12.0;-167.0;14.0;12669.75;706118.13;1;225000.0;-795;0.134625;31.5;225000.0;;1660.0;0.0968654434250764;0.8;0.0;-443.0;0.0;0.0
0.5758999256328118;0.0544765625;;0.0017074844650991;-17714;;31378.5;25.666666666666668;-1432.3333333333333;2.87434554973822;-3055.0;27.33333333333333;-94.0;90.0;;2855702.7;1;576000.0;-1250;0.4648666666666666;3.465;576000.0;;;0.1724624590719205;0.1171875;2.033333333333333;;0.6791217597403039;1.0
;0.0984098939929328;0.3689687382528466;0.6101708804821718;-20376;-39.0;12532.5;7.333333333333333;-1397.4444444444443;0.7037037037037037;;7.333333333333333;-234.0;24.0;720.0;159209.01;1;127350.0;-1998;0.13925;1.17;112500.0;2983.5;31183.0;;0.7067137809187279;0.0;-1118.0;0.9498327759197324;0.0
;0.0482654600301659;0.6817058776720116;0.4291605401666525;-16106;;40320.0;8.0;-689.9473684210526;0.8421052631578947;-2316.0;8.0;-485.0;18.0;0.0;376318.26;0;835380.0;-382;0.256;165.6;675000.0;;;0.1437973426052403;0.1885369532428356;0.0;-612.0;0.9380865974221;0.0
;0.054466556935508;0.8214433128935934;0.6576900771311006;-13191;;32760.0;12.0;-1612.8636363636365;0.0454545454545454;-1781.0;11.714285714285714;-489.0;70.0;;506922.885;0;601470.0;-4549;0.2426666666666666;56.385;450000.0;;;0.1350162989917367;0.2244500972617088;0.0;-2605.0;0.8632558487181403;0.0
;0.05;0.7610263695502636;0.4073018135981135;-16115;-646.0;12375.0;7.0;-1569.571428571429;0.0;-3065.0;7.0;-1046.0;17.0;0.0;60506.82;1;247500.0;-4280;0.1447368421052631;3548.475;247500.0;2249.8425;1135.0;0.1901954700589513;0.3454545454545454;0.0;-403.0;1.1111111111111112;0.0
0.8063672340470891;0.0424861168368213;0.7969726818373722;0.7597029194010263;-22848;;47304.0;8.0;-543.0588235294117;0.0;-13722.0;8.0;-68.0;23.0;;756556.2;1;1113399.0;-4931;0.1314;7400.745;945000.0;;;0.600577731092437;0.3233342225024452;0.0;-281.0;0.938085057805268;0.0
;0.0670857452966715;0.3539876078507373;0.4459116872436525;-12010;-376.0;33376.5;11.5;-818.5909090909091;3.590909090909091;-1571.0;11.5;-88.0;22.0;0.0;120601.575;0;497520.0;-4452;0.2119142857142857;34.11;450000.0;;720.0;0.1308076602830974;0.3165701881331403;0.0;-569.0;0.9044862518089724;1.0
0.1778912279588504;0.1144974479780133;0.3859146722745145;0.7297303648343264;-13634;-635.0;10498.5;12.0;-232.4655172413793;0.293103448275862;-1271.0;16.0;-6.0;22.0;;1169660.79;1;91692.0;-4108;0.0432037037037037;23.715;81000.0;0.0;464.0;0.0932228252897168;2.65017667844523;0.0;-1144.0;0.835282325425994;0.0
;0.05;;0.516292928805411;-8695;;9000.0;10.0;-164.2;0.0;-950.0;10.0;-28.0;10.0;;127943.595;1;180000.0;-1327;0.0571428571428571;12793.59;180000.0;;;0.1092581943645773;0.875;0.0;;1.0212602581945578;1.0
;0.0292368974934335;0.722392890081304;0.6894574095783867;-18495;-369.0;37818.0;9.0;-1467.1538461538462;0.0;-2600.0;9.0;-633.0;15.0;;138994.47;1;1293502.5;-2019;0.2801333333333333;4892.175;1129500.0;0.0;1457.0;0.1405785347391187;0.1043677920993581;0.0;-717.0;1.004996031190176;0.0
0.6684726318771314;0.1062771345875542;0.4884551844437485;0.7733041494729366;-12452;-395.0;10575.0;11.0;-2026.136363636364;0.0454545454545454;-5227.0;11.0;-1424.0;23.0;0.0;93772.665;1;99504.0;-4656;0.1175;3624.57;90000.0;0.0;1431.0;0.4197719241888853;0.9044862518089724;0.0;-1447.0;0.9966388650042992;0.0
;0.0392980574424979;0.7366226976503176;0.4473925630882375;-21770;-966.0;29677.5;12.0;-110.25;0.0;;12.0;-49.0;5.0;;214255.755;1;755190.0;-2787;0.1884285714285714;20687.22;675000.0;0.0;861.0;;0.2085567870337266;0.0;;1.2500219548608065;0.0
;0.0293977821755906;0.5884877883422673;0.6406600616611089;-12323;-623.0;23931.0;10.285714285714286;-1624.4651162790697;2.2209302325581395;-3048.0;10.285714285714286;-265.0;82.0;;451218.105;0;814041.0;-4596;0.13295;55.17;679500.0;;;0.2473423679298872;0.2211190836825172;0.073170731707317;-623.0;0.8347357148320967;0.0
;0.05;0.7583930617144343;0.5860230969450789;-21815;;13500.0;10.0;-2333.7;0.0;-7735.0;10.0;-2192.0;11.0;2217.915;90868.905;1;270000.0;-746;0.0697674418604651;8986.005;270000.0;;;0.3545725418290167;0.7166666666666667;0.0;-1218.0;1.1111111111111112;0.0
;0.05;;0.1631870354642708;-19263;;45000.0;8.0;-2257.3529411764707;0.1176470588235294;-2989.0;8.0;-2047.0;17.0;0.0;64027.17;1;900000.0;-2802;0.4;641.025;900000.0;;;0.1551679385350153;0.125;0.0;-1530.0;1.1111111111111112;0.0
0.2342470488636792;0.0356129032258064;;0.6561770793470051;-12538;;24840.0;6.0;-145.33333333333334;0.0;-1158.0;6.0;-21.0;9.0;;69942.285;0;697500.0;-4776;0.1725;7771.365;697500.0;;;0.0923592279470409;0.2064516129032258;0.0;;0.904470121381886;0.0
;0.0532136894824707;0.5549467685334323;0.6714449430153198;-17355;-137.0;8032.5;8.0;-848.3913043478261;0.0;-2895.0;10.8;-152.0;25.0;0.0;85242.28499999999;0;150948.0;-832;0.119;2192.625;126000.0;45000.0;959.0;0.1668107173725151;0.4471738611972334;0.0;-712.0;0.8794708476237139;0.0
0.8705705986785404;0.0573910482921083;0.2970866116472028;0.5875183304744717;-24479;-1325.0;8770.5;23.2;-631.2376237623762;2.702970297029703;;18.285714285714285;-18.0;71.0;1153.215;935892.9;1;152820.0;-4455;0.1771818181818182;2.34;135000.0;29639.43;31072.0;;0.3239104829210836;0.7183098591549296;-1375.0;0.8583690987124464;0.0
;0.03592;0.6940926425266661;0.3442161749779205;-21015;;16164.0;8.0;-1150.188679245283;1.1320754716981132;;8.0;-12.0;47.0;0.0;1166369.805;1;450000.0;-4485;0.1632727272727272;1.125;450000.0;;;;0.22;0.2127659574468085;-1055.0;0.0;1.0
0.2395409328355015;0.05;0.4722533429586386;0.3658376738414769;-11162;-68.0;9000.0;8.666666666666666;-284.1875;0.0;-915.0;8.666666666666666;-57.0;19.0;6450.0;43050.96;1;180000.0;-3508;0.1;1499.625;180000.0;0.0;297.0;0.0819745565310876;0.5;0.0;-180.0;1.0;0.0
;0.0792437252311756;0.6041125998015721;0.3355374202544656;-18611;-146.0;43191.0;20.0;-622.3061224489796;0.6326530612244898;-7261.0;20.0;-22.0;46.0;0.0;2347269.75;0;545040.0;-1662;0.119975;2051.415;450000.0;0.0;220.0;0.3901456128096287;0.6605019815059445;0.0;;0.9154155986818016;0.0
;0.02638;0.2580842039460289;0.3440582338024009;-21383;-128.0;11871.0;;;;;;;;;;1;450000.0;-4396;0.0879333333333333;;450000.0;0.0;2366.0;;0.3;;-248.0;;0.0
;0.0697816374048203;0.7503751495159068;0.6738716963828423;-21692;-2514.0;49900.5;10.0;-1463.6363636363635;0.0;;10.0;-37.0;29.0;;347798.47500000003;1;715095.0;-3997;0.3960357142857142;4045.815;675000.0;0.0;-688.0;;0.1762003649864703;0.0;-2514.0;1.0;0.0
;0.0482293618109943;;0.297512832128021;-22366;-249.0;52596.0;12.666666666666666;-329.0;2.5789473684210527;;26.375;-117.0;24.0;;457252.515;1;1090539.0;-1912;0.2597333333333333;126.45;895500.0;;85.0;;0.1856879946521857;0.0;;0.7911392405063291;0.0
;0.0293398533007334;0.2985949897873972;0.3093064494659866;-13972;-137.0;37044.0;6.666666666666667;-502.45238095238096;0.0;-679.0;6.666666666666667;-28.0;16.0;;727246.35;0;1262583.0;-3856;0.2058;86.535;1102500.0;0.0;12927.0;0.0485971943887775;0.1425648848432142;0.0;;0.0;0.0
;0.0389488173492892;;0.6842508352020509;-19045;;24957.0;6.0;-530.625;3.5625;-7682.0;6.0;-252.0;14.0;0.0;150051.285;1;640764.0;-2594;0.0924333333333333;7.875;459000.0;;;0.4033604620635337;0.4213719871902915;0.0;-2555.0;1.0;0.0
;0.0379788639365918;;0.4567197176242419;-14726;;17595.0;20.0;-796.6575342465753;0.3424657534246575;-916.0;20.0;-49.0;50.0;2960.172;578940.48;1;463284.0;-4808;0.1396428571428571;27.495;382500.0;;;0.0622029064240119;0.2719714041495065;0.0;-1798.0;0.0;0.0
;0.05454;0.7136313997323308;0.5369398702469113;-12920;;24543.0;18.0;-463.5;0.5;-3050.0;18.0;-219.0;19.0;0.0;194456.25;1;450000.0;-4957;0.2371304347826087;24.03;450000.0;;;0.2360681114551083;0.23;0.0526315789473684;-908.0;0.8632642008346874;1.0
0.330657277256855;0.046822272215973;;0.7519997529135454;-10344;-978.0;29970.0;7.0;-369.57142857142856;0.7142857142857143;-1133.0;7.0;-119.0;11.0;0.0;80288.325;1;640080.0;-1107;0.111;5093.19;450000.0;0.0;816.0;0.1095320959010054;0.421822272215973;0.0;-978.0;1.1008064516129032;0.0
